Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0481414138273208,-0.00398854433261392,-0.0280199985734328,0,0,0,2.94917563924566,0.0128398820596771,-9.9773361084281E-05,-0.000218468845396348,0.0149312823932681,-0.000654799122087799,0.0228588893971449,0,0,0,0,0,0,package://Trial_idk/meshes/base_link.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://Trial_idk/meshes/base_link.STL,,vehicle_trial_mecanum_simplified_3_simplify_2.stp-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_Wheel,2.77555756156289E-17,4.16333634234434E-17,0.0217868189669027,0,0,0,0.257449308227528,0.000171102338872607,2.54109884176063E-21,1.26041515730682E-19,0.000171102338872607,-1.17216867513079E-19,0.000258572345817047,0,0,0,0,0,0,package://Trial_idk/meshes/FR_Wheel.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://Trial_idk/meshes/FR_Wheel.STL,,wheel_easy.stp-3,Origin_FR_Wheel_Joint,Axis_FR_Wheel_Joint,FR_Wheel_Joint,continuous,0.055378,-0.17702,-0.081659,1.5708,1.5334,0,base_link,0,0,1,,,,,,,,,,,,
RR_Wheel,-2.77555756156289E-17,1.38777878078145E-17,0.0217868189668995,0,0,0,0.257449308227528,0.000171102338872607,-9.11175611688506E-36,-1.67551630418403E-19,0.000171102338872607,3.24723508539993E-21,0.000258572345817047,0,0,0,0,0,0,package://Trial_idk/meshes/RR_Wheel.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://Trial_idk/meshes/RR_Wheel.STL,,wheel_easy.stp-1,Origin_RR_Wheel_Joint,Axis_RR_Wheel_Joint,RR_Wheel_Joint,continuous,-0.18962,-0.17702,-0.081659,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
RL_Wheel,8.32667268468867E-17,2.77555756156289E-17,0.0217868189668999,0,0,0,0.257449308227528,0.000171102338872607,-1.05879118406788E-22,-9.3369127610073E-21,0.000171102338872607,-3.86439265136411E-19,0.000258572345817047,0,0,0,0,0,0,package://Trial_idk/meshes/RL_Wheel.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://Trial_idk/meshes/RL_Wheel.STL,,wheel_easy.stp-2,Origin_RL_Wheel_Joint,Axis_RL_Wheel_Joint,RL_Wheel_Joint,continuous,-0.18962,0.17598,-0.081659,1.5708,-1.567,-3.1416,base_link,0,0,1,,,,,,,,,,,,
FL_Wheel,-9.71445146547012E-17,6.93889390390723E-18,0.0217868189668995,0,0,0,0.257449308227528,0.000171102338872607,-1.27054942088145E-21,-2.82189112687604E-19,0.000171102338872607,1.20399045316315E-19,0.000258572345817047,0,0,0,0,0,0,package://Trial_idk/meshes/FL_Wheel.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://Trial_idk/meshes/FL_Wheel.STL,,wheel_easy.stp-4,Origin_FL_Wheel_Joint,Axis_FL_Wheel_Joint,FL_Wheel_Joint,continuous,0.055378,0.17598,-0.081659,1.5708,-1.5694,-3.1416,base_link,0,0,1,,,,,,,,,,,,
Pinion,-1.11632385481342E-07,-4.90056753232881E-08,0.0217623360867328,0,0,0,0.01971261332238,2.49308494258273E-06,2.72344718652473E-10,-3.61858006756224E-11,2.49258756099775E-06,-1.5891324049069E-11,3.84795949836166E-06,0,0,0,0,0,0,package://Trial_idk/meshes/Pinion.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trial_idk/meshes/Pinion.STL,,small gear.stp-1,Origin_Pinion_Joint,Axis_Pinion_Joint,Pinion_Joint,revolute,0.11325,-0.069981,-0.011459,3.1416,0,-1.7799,base_link,0,0,1,0,0,0,0,,,,,,,,
Arm,-0.0447636964861963,0.0437778638064752,-0.0082804221999584,0,0,0,0.552851524789675,0.000443857677321355,-1.89526206123062E-05,1.302833847817E-05,0.000503143102055466,5.00417084359423E-06,0.000494848988738842,0,0,0,0,0,0,package://Trial_idk/meshes/Arm.STL,0.301960784313725,0.305882352941176,0.290196078431373,1,0,0,0,0,0,0,package://Trial_idk/meshes/Arm.STL,,robotic hand holder_for thrust bearing_no belt_simplify_1.stp-1,Origin_Arm_Joint,Axis_Arm_Joint,Arm_Joint,revolute,0.10378,-0.0006244,0.017885,1.7033,1.5708,0,base_link,1,0,0,0,0,0,0,,,,,,,,
